1,21989,21989,20000,19200.0,2,2,1,2,3913,3991.26,1
2,38344,38344,120000,115200.0,2,2,2,-1,2682,2735.64,1
14,44580,44580,70000,67200.0,1,2,2,1,65802,67118.04,1
17,46944,46944,20000,19200.0,1,1,2,0,15376,15683.52,1
22,17100,17100,120000,115200.0,2,2,1,-1,316,322.32,1
23,17100,17100,70000,67200.0,2,2,2,2,41087,41908.74,1
24,17100,17100,450000,432000.0,2,1,1,-2,5512,5622.24,1
32,33851,33851,50000,48000.0,1,2,2,2,30518,31128.36,1
47,84251,84251,20000,19200.0,2,1,2,0,14028,14308.56,1
48,86830,86830,150000,144000.0,2,5,2,0,4463,4552.26,1
51,88925,88925,70000,67200.0,1,3,2,1,37042,37782.84,1
61,88925,88925,500000,480000.0,2,3,1,0,22848,23304.96,1
63,88925,88925,50000,48000.0,1,1,2,2,24987,25486.74,1
64,88925,88925,50000,48000.0,2,2,1,0,28718,29292.36,1
66,88925,88925,200000,192000.0,1,1,1,-2,152519,155569.38,1
67,88925,88925,10000,9600.0,1,2,1,2,2097,2138.94,1
72,91450,91450,320000,307200.0,1,2,2,2,58267,59432.34,1
79,23841,23841,30000,28800.0,2,2,2,0,28387,28954.74,1
83,30219,30219,60000,57600.0,1,3,2,0,26324,26850.48,1
87,35783,35783,360000,345600.0,2,1,1,-1,390,397.8,1
91,48121,48121,200000,192000.0,1,1,1,2,138180,140943.6,1
100,56503,56503,20000,19200.0,1,2,1,0,17973,18332.46,1
104,77150,77150,50000,48000.0,2,3,2,0,44698,45591.96,1
116,37001,37001,30000,28800.0,1,1,2,-1,18199,18562.98,1
118,49046,49046,80000,76800.0,1,2,2,2,14029,14309.58,1
121,50662,50662,50000,48000.0,1,3,2,2,46004,46924.08,1
124,55612,55612,310000,297600.0,2,2,1,2,304991,311090.8,1
128,63940,63940,180000,172800.0,1,1,1,0,163736,167010.72,1
129,73231,73231,50000,48000.0,1,2,1,0,3347,3413.94,1
139,83350,83350,50000,48000.0,2,3,1,-1,752,767.04,1
147,17575,17575,170000,163200.0,2,2,2,0,19269,19654.38,1
159,69051,69051,210000,201600.0,1,3,1,2,115785,118100.7,1
176,85320,85320,130000,124800.0,1,3,1,1,64617,65909.34,1
184,85320,85320,60000,57600.0,2,2,1,0,58024,59184.48,1
186,18575,18575,100000,96000.0,2,2,1,1,14483,14772.66,1
188,19636,19636,200000,192000.0,2,3,2,2,199436,203424.72,1
192,44965,44965,60000,57600.0,2,1,2,2,19625,20017.5,1
196,67202,67202,50000,48000.0,2,1,2,1,36166,36889.32,1
200,67243,67243,30000,28800.0,2,3,2,1,29010,29590.2,1
208,97176,97176,210000,201600.0,2,2,1,-1,3088,3149.76,1
209,97176,97176,80000,76800.0,2,2,2,0,81625,83257.5,1
221,32753,32753,360000,345600.0,2,1,1,2,105167,107270.34,1
225,39371,39371,50000,48000.0,2,3,2,1,52626,53678.52,1
229,44527,44527,50000,48000.0,1,2,2,2,49758,50753.16,1
232,48786,48786,20000,19200.0,1,2,2,1,20235,20639.7,1
234,68396,68396,190000,182400.0,1,2,2,2,129801,132397.02,1
239,11324,11324,240000,230400.0,2,3,1,0,234205,238889.1,1
240,46300,46300,140000,134400.0,2,2,3,0,19346,19732.92,1
253,40435,40435,140000,134400.0,2,2,2,0,101551,103582.02,1
260,36096,36096,220000,211200.0,1,1,1,2,210380,214587.6,1
268,58288,58288,130000,124800.0,2,3,2,0,89003,90783.06,1
270,68303,68303,50000,48000.0,1,2,2,3,13694,13967.88,1
277,94482,94482,460000,441600.0,1,1,1,2,171,174.42,1
289,40704,40704,100000,96000.0,2,2,2,2,70896,72313.92,1
291,48608,48608,280000,268800.0,1,1,2,-1,898,915.96,1
294,53877,53877,10000,9600.0,1,2,2,0,7015,7155.3,1
304,91661,91661,20000,19200.0,2,1,2,0,11968,12207.36,1
309,97057,97057,30000,28800.0,1,3,1,2,9720,9914.4,1
314,34968,34968,200000,192000.0,2,3,1,-1,52439,53487.78,1
316,40254,40254,60000,57600.0,1,2,2,0,49507,50497.14,1
321,76668,76668,110000,105600.0,1,2,2,1,58362,59529.24,1
324,81457,81457,230000,220800.0,2,2,1,0,26361,26888.22,1
327,87571,87571,220000,211200.0,2,2,1,-1,650,663.0,1
328,87571,87571,60000,57600.0,2,2,1,2,24898,25395.96,1
332,98905,98905,130000,124800.0,2,2,2,0,9559,9750.18,1
339,16481,16481,50000,48000.0,2,2,1,0,46512,47442.24,1
348,33871,33871,50000,48000.0,2,2,2,0,47081,48022.62,1
350,45127,45127,30000,28800.0,2,2,2,0,17893,18250.86,1
356,52899,52899,180000,172800.0,1,2,1,-1,27679,28232.58,1
361,53789,53789,500000,480000.0,2,2,2,4,507726,517880.53,1
370,70533,70533,20000,19200.0,2,2,1,3,20631,21043.62,1
371,71933,71933,180000,172800.0,1,2,1,2,83538,85208.76,1
380,98060,98060,50000,48000.0,1,2,2,0,20526,20936.52,1
382,26065,26065,50000,48000.0,2,2,1,2,1894,1931.88,1
384,41614,41614,170000,163200.0,2,2,2,-1,2948,3006.96,1
388,41614,41614,80000,76800.0,1,3,1,-1,63144,64406.88,1
390,49532,49532,260000,249600.0,1,1,1,-1,1131,1153.62,1
403,97325,97325,150000,144000.0,1,1,2,-1,1464,1493.28,1
405,14002,14002,160000,153600.0,2,1,2,2,160432,163640.64,1
411,77432,77432,60000,57600.0,2,1,2,1,29332,29918.64,1
414,82120,82120,230000,220800.0,2,2,2,1,13668,13941.36,1
424,26539,26539,200000,192000.0,1,2,1,2,104978,107077.56,1
427,32673,32673,20000,19200.0,2,3,2,2,9551,9742.02,1
428,32673,32673,170000,163200.0,2,1,2,-1,199,202.98,1
432,33602,33602,390000,374400.0,2,1,2,0,304867,310964.34,1
436,40540,40540,270000,259200.0,2,2,1,1,234752,239447.05,1
440,47665,47665,80000,76800.0,2,1,2,0,77024,78564.48,1
445,48364,48364,240000,230400.0,1,1,2,0,246135,251057.7,1
452,72166,72166,600000,576000.0,1,1,1,2,467150,476493.0,1
460,72006,72006,70000,67200.0,1,2,1,0,50927,51945.54,1
466,37833,37833,230000,220800.0,1,1,1,-1,208459,212628.19,1
467,38152,38152,220000,211200.0,1,1,2,0,212795,217050.9,1
471,38345,38345,390000,374400.0,2,3,2,0,355215,362319.3,1
482,69589,69589,140000,134400.0,1,2,2,0,131367,133994.34,1
489,81335,81335,220000,211200.0,2,2,1,-1,396,403.92,1
495,80608,80608,80000,76800.0,2,1,1,0,8574,8745.48,1
504,42757,42757,130000,124800.0,2,1,1,0,19161,19544.22,1
512,68781,68781,120000,115200.0,2,2,2,-1,240,244.8,1
514,68781,68781,50000,48000.0,1,2,2,2,29509,30099.18,1
523,24832,24832,360000,345600.0,1,1,2,-1,1210,1234.2,1
524,24832,24832,140000,134400.0,2,2,1,0,111496,113725.92,1
528,84670,84670,620000,595200.0,2,2,1,2,160837,164053.73,1
